k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
340|502|544|544|56|350|366|366|43|0.0823353644246544|0.09365268166089995|0.09365835777126137|0.11001680672268932|0.1278367084538736|0.12780635546368008
350|490|512|512|56|346|371|371|43|0.08137026239067054|0.09731584821428581|0.09732794693732195|0.10713459950454164|0.12666153253754342|0.12663088134786243
360|473|521|521|56|357|371|371|43|0.08182405449847312|0.09410855193004901|0.09412434004498059|0.10343915343915334|0.12543426175501637|0.12540785927081868
370|447|494|494|56|282|405|405|43|0.08332426386117664|0.09937629937629909|0.09934306011763813|0.12009775733179984|0.1175575575575573|0.11752687098599057
380|386|506|506|56|277|379|379|43|0.08961003545132268|0.09373309756604947|0.09371012417914151|0.11516245487364633|0.11782391334536857|0.11781245022472446
390|432|515|515|56|255|402|402|43|0.07781339031339034|0.0904306696539707|0.09041293174086876|0.11917546505781802|0.11113662456946051|0.11112595589825829
400|432|527|527|56|291|402|402|43|0.07663773148148156|0.08527039848197356|0.08528015823818076|0.10499140893470801|0.10550995024875638|0.10551357923598971
410|455|542|542|56|291|366|366|43|0.07392656124363439|0.08091080910809105|0.0809249333369247|0.10731707317073162|0.10940290550446484|0.10942257322537334
420|445|543|543|56|308|371|371|43|0.07671482075976473|0.08148294308515326|0.0815343630661015|0.10500927643784794|0.11081375946605068|0.11082584784014439
430|436|555|555|56|308|364|364|43|0.07940580328568368|0.08037293107060564|0.08042055977090766|0.10610842645726354|0.11416432404804522|0.1141735294867546
440|435|566|566|56|325|375|375|43|0.07969696969696971|0.07745743655637634|0.0775061496919145|0.1028321678321678|0.11090909090909078|0.11091761148904021
450|418|567|567|56|325|375|375|43|0.08377990430622008|0.07918871252204594|0.07923211988252638|0.10356239316239305|0.1114725925925927|0.11147967479674788
460|417|594|594|56|325|459|459|43|0.08297883432384519|0.07845117845117827|0.0784855058173931|0.10165886287625417|0.09844652836980192|0.09843619298767965
470|422|604|604|56|314|448|448|47|0.08252495714429763|0.08127377765252937|0.08129806948721187|0.10427564710665398|0.10628324468085126|0.1062803306035788
480|429|604|604|56|314|460|460|47|0.08293997668997659|0.0830746412803534|0.08309468408806162|0.10569930997876836|0.10570652173913056|0.10569917743830781
490|464|605|605|56|332|467|478|47|0.07854064039408869|0.08191263282172373|0.08193432192691612|0.10354684042291609|0.10262640388061|0.1012918729601448
500|492|605|605|56|332|476|487|56|0.07541869918699187|0.0828760330578514|0.08289536629220899|0.10511445783132516|0.10150420168067241|0.10023484857799798
