k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
340|33|44|44|5|18|32|32|5|0.12366310160427808|0.20150401069518714|0.20207944548120496|0.18415032679738563|0.21806066176470582|0.21856671554252197
350|40|43|43|5|18|32|32|5|0.10507142857142857|0.20056478405315614|0.20111972437553838|0.18285714285714283|0.21754464285714284|0.21803774928774933
360|36|44|44|5|20|32|32|5|0.11678240740740743|0.19510732323232327|0.19566859733064723|0.17465277777777777|0.2127604166666667|0.21325311634349034
370|36|43|43|5|20|32|32|5|0.11606606606606608|0.19173475801382775|0.19228358302513635|0.17682432432432432|0.20760135135135135|0.20809467654986522
380|29|42|42|5|17|32|32|5|0.1357531760435572|0.1892230576441102|0.18978877640294967|0.1865325077399381|0.20324835526315785|0.203740157480315
390|30|42|42|5|17|32|32|5|0.12918803418803418|0.18904151404151412|0.18959322859578615|0.18295625942684768|0.20280448717948724|0.20328484654731457
400|29|43|43|5|16|29|29|5|0.12969827586206897|0.1835174418604651|0.1840456997042278|0.182890625|0.2005172413793104|0.20096310946771004
410|30|46|46|5|17|24|24|5|0.12471544715447157|0.17555673382820788|0.17610811382629854|0.17769010043041608|0.20213414634146343|0.20250405515004047
420|31|45|45|5|17|27|27|5|0.12096774193548387|0.17592592592592587|0.17645816838215883|0.17864145658263306|0.19951499118165789|0.19992082343626283
430|30|45|45|5|17|27|27|5|0.12492248062015504|0.17416020671834634|0.1746841969579788|0.18091655266757864|0.20081826012058568|0.20121165248775452
440|30|46|46|5|19|27|27|5|0.12526515151515152|0.17364130434782604|0.17415951888001577|0.1688995215311005|0.2034511784511784|0.20382968002015622
450|29|46|46|5|20|27|27|5|0.1296934865900383|0.17690821256038647|0.17740769304926254|0.16377777777777774|0.2071604938271604|0.2075223782540856
460|27|47|47|5|21|30|30|5|0.13518518518518524|0.180527289546716|0.18103567637420967|0.15838509316770186|0.20391304347826095|0.20430224150397688
470|28|48|48|5|19|33|33|2|0.12978723404255318|0.17912234042553188|0.17962668082094838|0.16724524076147815|0.19858156028368792|0.19889982628836136
480|28|48|48|5|19|34|34|2|0.12957589285714285|0.17769097222222222|0.17818780318780317|0.1661732456140351|0.19580269607843137|0.19612938730585786
490|28|48|48|5|22|34|34|2|0.1294460641399417|0.17742346938775508|0.17791072640868977|0.15366419294990727|0.1957382953181272|0.19605846411884517
500|33|48|48|5|22|35|35|2|0.11275757575757572|0.17910416666666665|0.1795783433133733|0.15313636363636365|0.1971142857142857|0.19743370402053034
