k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
240|29|199|199|113|26|199|199|113|0.34281609195402296|0.47558626465661613|0.4759690569027715|0.38060897435897434|0.47558626465661613|0.4759690569027715
250|29|199|199|113|26|199|199|113|0.34234482758620693|0.4685628140703515|0.4689583375042542|0.3801538461538462|0.4685628140703515|0.4689583375042542
260|29|202|202|113|26|202|202|113|0.34124668435013256|0.4560548362528566|0.45645081749554267|0.3791420118343194|0.4560548362528566|0.45645081749554267
270|29|202|202|113|26|202|202|113|0.34584929757343547|0.45038503850385053|0.4507873296554753|0.3843304843304842|0.45038503850385053|0.4507873296554753
280|31|204|204|113|28|204|204|113|0.329147465437788|0.4399859943977593|0.4403914590747331|0.36339285714285713|0.4399859943977593|0.4403914590747331
290|31|207|207|113|28|207|207|113|0.33281423804226923|0.42627019823421614|0.42668127562793634|0.36724137931034484|0.42627019823421614|0.42668127562793634
300|31|207|207|113|28|207|207|113|0.32913978494623647|0.41867954911433175|0.4191021875551704|0.36321428571428566|0.41867954911433175|0.4191021875551704
310|35|212|212|113|28|212|212|113|0.2875576036866358|0.4035909920876448|0.40400715889097844|0.3578341013824883|0.4035909920876448|0.40400715889097844
320|34|212|212|113|28|212|212|113|0.2944852941176471|0.3994988207547171|0.39991477105742673|0.3553571428571428|0.3994988207547171|0.39991477105742673
330|35|212|212|113|28|212|212|113|0.2845021645021645|0.39777015437392776|0.3981787607592777|0.35205627705627707|0.39777015437392776|0.3981787607592777
340|38|212|212|113|28|212|212|113|0.2626934984520124|0.39748890122086555|0.3978863498035743|0.3498949579831933|0.39748890122086555|0.3978863498035743
350|39|212|212|113|32|212|212|113|0.25545787545787546|0.3968194070080861|0.3972074396602701|0.308125|0.3968194070080861|0.3972074396602701
360|43|212|212|113|35|212|212|113|0.2335917312661499|0.3977201257861635|0.3980949145455496|0.2854761904761905|0.3977201257861635|0.3980949145455496
370|43|213|213|113|35|212|212|113|0.23614079195474544|0.39497525694708807|0.39534059704136765|0.2867181467181467|0.3968001019887814|0.3971672684737832
380|43|213|213|113|35|213|213|113|0.23880048959608333|0.39174697306646883|0.3921111973679345|0.28909774436090235|0.39174697306646883|0.3921111973679345
390|45|213|213|113|40|213|213|113|0.23031339031339024|0.3864451667268568|0.3868136354358035|0.25820512820512814|0.3864451667268568|0.3868136354358035
400|45|213|213|113|40|213|213|113|0.23161111111111102|0.38123239436619705|0.3816046737616053|0.2595624999999999|0.38123239436619705|0.3816046737616053
410|45|215|215|113|40|213|213|113|0.2313279132791328|0.37280771412365266|0.37317942624342243|0.25914634146341464|0.37621664949043837|0.3765920747518365
420|45|215|215|113|40|215|215|113|0.22968253968253968|0.3679955703211517|0.3683698834447328|0.25708333333333333|0.3679955703211517|0.3683698834447328
430|45|215|215|113|40|215|215|113|0.22857881136950908|0.36464034613304463|0.3650137592402741|0.25563953488372093|0.36464034613304463|0.3650137592402741
440|45|215|215|113|40|215|215|113|0.22782828282828277|0.3616279069767443|0.3619996835943679|0.2546590909090909|0.3616279069767443|0.3619996835943679
450|45|215|215|113|42|215|215|113|0.22780246913580246|0.35897674418604675|0.35934615582942286|0.24333333333333332|0.35897674418604675|0.35934615582942286
460|45|221|221|113|43|213|213|113|0.22811594202898558|0.3465374778674011|0.346894906803035|0.23847320525783627|0.3593488467034088|0.35972014298371574
470|45|231|231|113|43|219|219|113|0.22718676122931442|0.33150962512664633|0.3318443764303633|0.23750618505690255|0.3489167395317205|0.34927144228252294
480|46|231|231|113|43|219|219|113|0.22101449275362317|0.32954545454545414|0.32987732987733|0.23614341085271318|0.34686073059360684|0.3472123335137034
490|46|233|233|113|43|221|221|113|0.21921029281277726|0.32385039852851|0.32417856175100324|0.23412434741338398|0.34071474743743646|0.3410621964593454
500|47|233|233|113|43|231|231|113|0.21268085106382983|0.32048068669527874|0.3208090257253733|0.23153488372093023|0.3231515151515149|0.3234829043212276
