k|ST|CSTwo|CSTwi|CF|ST_sig|CSTwo_sig|CSTwi_sig|CF_sig|ST_delta|CSTwo_delta|CSTwi_delta|ST_delta_sig|CSTwo_delta_sig|CSTwi_delta_sig
260|80|503|503|231|61|494|494|231|0.19274038461538462|0.243317020951216|0.24414432942574457|0.24583858764186636|0.2476798505138588|0.24852249988366157
270|80|510|510|231|64|501|501|231|0.19138888888888897|0.23748729121278156|0.23828232399971044|0.23489583333333336|0.24168699637761526|0.24249655670209386
280|83|518|518|231|65|504|504|231|0.1842082616179002|0.2319980694980697|0.2327594498413008|0.23076923076923084|0.2382723922902496|0.23905552731175553
290|84|521|521|231|63|507|507|231|0.1814860426929393|0.22932689125686673|0.23006246248623194|0.2363984674329503|0.2354961572468203|0.2362526010424511
300|80|532|532|231|63|519|519|231|0.18883333333333335|0.22311403508771915|0.2238153523343239|0.23417989417989418|0.22855491329479755|0.22927428801874264
310|81|533|533|231|65|524|524|231|0.18478693747510944|0.22199358470011502|0.22267333482140172|0.22531017369727044|0.22574489042107865|0.22643651358582273
320|84|533|533|231|67|524|524|231|0.17566964285714284|0.2196822232645404|0.22034799787250248|0.21646455223880598|0.223395753816794|0.2240731492711235
330|88|536|536|231|68|515|515|231|0.1665633608815427|0.21654794210764342|0.21719574333769245|0.21136363636363634|0.2252132980288319|0.22588801220191854
340|88|528|528|231|69|515|515|231|0.16490641711229947|0.21656639928698765|0.21721429840931342|0.2066496163682864|0.2219074814391778|0.22257210374968006
350|94|528|528|231|70|515|515|231|0.15364741641337387|0.21262445887445913|0.2132651299317968|0.20228571428571437|0.21786962552011124|0.21852681658506923
360|97|531|531|231|70|518|518|231|0.14822451317296678|0.20866813140824442|0.20929516774392126|0.2002380952380952|0.21378700128700126|0.21443010085669376
370|97|532|532|231|70|524|524|231|0.14842574533296188|0.2049685023369233|0.20558640536651585|0.19888030888030891|0.20801010934598713|0.20863768235221478
380|97|532|532|231|74|524|524|231|0.14750406945198044|0.20275029679461823|0.20335780395871553|0.18762446657183493|0.20576034552028943|0.20637735168600094
390|98|548|548|231|80|532|532|231|0.1459968602825745|0.19649541456110814|0.19707095786585027|0.17516025641025637|0.20221708116444972|0.20281041478376252
400|98|561|561|231|85|542|542|231|0.14438775510204077|0.19213012477718333|0.19267784193704718|0.16455882352941173|0.1986577490774906|0.19922518427179317
410|98|569|569|231|84|549|549|231|0.14230960676953705|0.1885764499121268|0.18910540111776727|0.1639372822299651|0.1952374605713274|0.19578618944420043
420|99|575|575|231|80|560|560|231|0.14064454064454066|0.1855734989648034|0.18608695652173918|0.17077380952380952|0.19035714285714297|0.19088479809976247
430|102|579|579|231|79|558|558|231|0.13746010031919742|0.18282523998875375|0.18332672140541503|0.17315278186635266|0.18944319413186636|0.18996415770609285
440|102|585|585|231|78|559|559|231|0.13814616755793233|0.17949494949494946|0.17998333236428468|0.17607808857808863|0.18755488697349162|0.1880666398938824
450|102|595|595|231|78|565|565|231|0.13775599128540303|0.17546218487394943|0.17593396560397995|0.1754131054131054|0.18448377581120937|0.18498126091478126
460|103|595|595|231|78|575|575|231|0.13752638243984802|0.17433686518085442|0.17480085309611956|0.17678372352285388|0.1801587901701318|0.18063944166745302
470|107|597|597|231|79|580|580|231|0.1330284350765559|0.17191988310346065|0.17237639008915784|0.17538378669539448|0.17680851063829786|0.17727871732923356
480|107|597|597|231|82|580|580|231|0.13309968847352024|0.17008654383026234|0.1705373715423967|0.16941056910569105|0.17493175287356313|0.17539608574091334
490|107|605|605|231|84|586|586|231|0.13303452222010292|0.16762017203575644|0.16805642052818526|0.1658892128279883|0.17290520303684614|0.17335590110035265
500|108|605|605|231|84|584|584|231|0.13135185185185191|0.16665454545454553|0.16708401379060087|0.16516666666666674|0.17247260273972614|0.1729178629043285
